versionCreated,headline,storyId,sourceCode,cRIC
2025-02-08 19:46:10.000,Billionaire Musk says not interested in acquiring TikTok,urn:newsml:reuters.com:20250208:nL3N3OI0C7:5,NS:RTRS,AAPL.O
2025-02-07 12:00:00.000,RPT-BREAKINGVIEWS-Foxconn can cast wary eye over Nissan,urn:newsml:reuters.com:20250207:nL4N3OY0PI:3,NS:RTRS,AAPL.O
2025-02-07 08:08:03.000,BREAKINGVIEWS-Foxconn can cast wary eye over Nissan,urn:newsml:reuters.com:20250207:nL4N3OY083:11,NS:RTRS,AAPL.O
2025-01-24 14:38:10.000,Deals of the day-Mergers and acquisitions,urn:newsml:reuters.com:20250124:nL3N3OK1F2:1,NS:RTRS,AAPL.O
2025-01-24 13:22:46.000,Deals of the day-Mergers and acquisitions,urn:newsml:reuters.com:20250124:nL3N3OK10M:1,NS:RTRS,AAPL.O
2025-01-24 08:13:11.000,UPDATE 1-India's Tata Electronics buys 60% stake in Pegatron local arm for iPhone plant,urn:newsml:reuters.com:20250124:nL3N3OK0OP:6,NS:RTRS,AAPL.O
2025-01-24 07:15:47.000,India's Tata Electronics acquires 60% stake in Pegatron Technology,urn:newsml:reuters.com:20250124:nL3N3OK0OD:1,NS:RTRS,AAPL.O
2025-01-23 12:46:24.000,ANALYSIS-Britain appeals to Big Tech with change of regulatory guard,urn:newsml:reuters.com:20250123:nL5N3OI1EH:2,NS:RTRS,AAPL.O
2025-01-22 15:34:31.000,FACTBOX-List of UK competition regulator cases as new boss steps in,urn:newsml:reuters.com:20250122:nL3N3OI11S:1,NS:RTRS,AAPL.O
2025-01-22 11:49:59.000,UPDATE 3-UK boots out antitrust boss for failing to back growth agenda,urn:newsml:reuters.com:20250122:nL5N3OI0CN:1,NS:RTRS,AAPL.O
2025-01-17 07:19:39.000,"CORRECTED-UPDATE 2-Apple loses smartphone sales crown in China, drops to third in 2024",urn:newsml:reuters.com:20250116:nL1N3OC015:1,NS:RTRS,AAPL.O
2025-01-16 11:30:00.000,"RPT-EXCLUSIVE-Apple in talks with Barclays, Synchrony to replace Goldman in credit card deal, sources say",urn:newsml:reuters.com:20250116:nL1N3OB1D3:2,NS:RTRS,AAPL.O
